;p.u.
;PV
777;0
778;0
779;0
780;0
781;0
782;0
783;0
784;0
785;0
786;0
787;0
788;0
789;0
790;0
791;0
792;0
793;0
794;0,00105
795;0,0021
796;0,00315
797;0,0042
798;0,016475
799;0,02875
800;0,041025
801;0,0533
802;0,069766667
803;0,086233333
804;0,1027
805;0,119166667
806;0,123633333
807;0,1281
808;0,132566667
809;0,137033333
810;0,140291667
811;0,14355
812;0,146808333
813;0,150066667
814;0,132075
815;0,114083333
816;0,096091667
817;0,0781
818;0,073175
819;0,06825
820;0,063325
821;0,0584
822;0,051083333
823;0,043766667
824;0,03645
825;0,029133333
826;0,024666667
827;0,0202
828;0,015733333
829;0,011266667
830;0,008983333
831;0,0067
832;0,004416667
833;0,002133333
834;0,0016
835;0,001066667
836;0,000533333
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;0
855;0
856;0
857;0
858;0
859;0
860;0
861;0
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;0
872;0
873;0
874;0
875;0
876;0
877;0
878;0
879;0
880;0
881;0
882;0
883;0
884;0
885;0
886;0
887;0
888;0
889;0
890;0,000675
891;0,00135
892;0,002025
893;0,0027
894;0,009383333
895;0,016066667
896;0,02275
897;0,029433333
898;0,05475
899;0,080066667
900;0,105383333
901;0,1307
902;0,131041667
903;0,131383333
904;0,131725
905;0,132066667
906;0,1192
907;0,106333333
908;0,093466667
909;0,0806
910;0,0776
911;0,0746
912;0,0716
913;0,0686
914;0,062625
915;0,05665
916;0,050675
917;0,0447
918;0,038583333
919;0,032466667
920;0,02635
921;0,020233333
922;0,019766667
923;0,0193
924;0,018833333
925;0,018366667
926;0,013775
927;0,009183333
928;0,004591667
929;0
930;0
931;0
932;0
933;0
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;0
942;0
943;0
944;0
945;0
946;0
947;0
948;0
949;0
950;0
951;0
952;0
953;0
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;0
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0,001908333
987;0,003816667
988;0,005725
989;0,007633333
990;0,019766667
991;0,0319
992;0,044033333
993;0,056166667
994;0,080791667
995;0,105416667
996;0,130041667
997;0,154666667
998;0,179741667
999;0,204816667
1000;0,229891667
1001;0,254966667
1002;0,238883333
1003;0,2228
1004;0,206716667
1005;0,190633333
1006;0,211333333
1007;0,232033333
1008;0,252733333
1009;0,273433333
1010;0,3344
1011;0,395366667
1012;0,456333333
1013;0,5173
1014;0,431525
1015;0,34575
1016;0,259975
1017;0,1742
1018;0,14335
1019;0,1125
1020;0,08165
1021;0,0508
1022;0,039675
1023;0,02855
1024;0,017425
1025;0,0063
1026;0,004725
1027;0,00315
1028;0,001575
1029;0
1030;0
1031;0
1032;0
1033;0
1034;0
1035;0
1036;0
1037;0
1038;0
1039;0
1040;0
1041;0
1042;0
1043;0
1044;0
1045;0
1046;0
1047;0
1048;0
1049;0
1050;0
1051;0
1052;0
1053;0
1054;0
1055;0
1056;0
1057;0
1058;0
1059;0
1060;0
1061;0
1062;0
1063;0
1064;0
1065;0
1066;0
1067;0
1068;0
1069;0
1070;0
1071;0
1072;0
1073;0
1074;0
1075;0
1076;0
1077;0
1078;0
1079;0
1080;0
1081;0
1082;0,001216667
1083;0,002433333
1084;0,00365
1085;0,004866667
1086;0,010775
1087;0,016683333
1088;0,022591667
1089;0,0285
1090;0,092166667
1091;0,155833333
1092;0,2195
1093;0,283166667
1094;0,348275
1095;0,413383333
1096;0,478491667
1097;0,5436
1098;0,562658333
1099;0,581716667
1100;0,600775
1101;0,619833333
1102;0,62145
1103;0,623066667
1104;0,624683333
1105;0,6263
1106;0,605866667
1107;0,585433333
1108;0,565
1109;0,544566667
1110;0,48565
1111;0,426733333
1112;0,367816667
1113;0,3089
1114;0,249141667
1115;0,189383333
1116;0,129625
1117;0,069866667
1118;0,053716667
1119;0,037566667
1120;0,021416667
1121;0,005266667
1122;0,00395
1123;0,002633333
1124;0,001316667
1125;0
1126;0
1127;0
1128;0
1129;0
1130;0
1131;0
1132;0
1133;0
1134;0
1135;0
1136;0
1137;0
1138;0
1139;0
1140;0
1141;0
1142;0
1143;0
1144;0
1145;0
1146;0
1147;0
1148;0
1149;0
1150;0
1151;0
1152;0
1153;0
1154;0
1155;0
1156;0
1157;0
1158;0
1159;0
1160;0
1161;0
1162;0
1163;0
1164;0
1165;0
1166;0
1167;0
1168;0
1169;0
1170;0
1171;0
1172;0
1173;0
1174;0
1175;0
1176;0
1177;0
1178;0,001033333
1179;0,002066667
1180;0,0031
1181;0,004133333
1182;0,017275
1183;0,030416667
1184;0,043558333
1185;0,0567
1186;0,084066667
1187;0,111433333
1188;0,1388
1189;0,166166667
1190;0,248391667
1191;0,330616667
1192;0,412841667
1193;0,495066667
1194;0,492808333
1195;0,49055
1196;0,488291667
1197;0,486033333
1198;0,466575
1199;0,447116667
1200;0,427658333
1201;0,4082
1202;0,376975
1203;0,34575
1204;0,314525
1205;0,2833
1206;0,261466667
1207;0,239633333
1208;0,2178
1209;0,195966667
1210;0,1734
1211;0,150833333
1212;0,128266667
1213;0,1057
1214;0,083316667
1215;0,060933333
1216;0,03855
1217;0,016166667
1218;0,012125
1219;0,008083333
1220;0,004041667
1221;0
1222;0
1223;0
1224;0
1225;0
1226;0
1227;0
1228;0
1229;0
1230;0
1231;0
1232;0
1233;0
1234;0
1235;0
1236;0
1237;0
1238;0
1239;0
1240;0
1241;0
1242;0
1243;0
1244;0
1245;0
1246;0
1247;0
1248;0
1249;0
1250;0
1251;0
1252;0
1253;0
1254;0
1255;0
1256;0
1257;0
1258;0
1259;0
1260;0
1261;0
1262;0
1263;0
1264;0
1265;0
1266;0
1267;0
1268;0
1269;0
1270;0
1271;0
1272;0
1273;0
1274;0,003408333
1275;0,006816667
1276;0,010225
1277;0,013633333
1278;0,025358333
1279;0,037083333
1280;0,048808333
1281;0,060533333
1282;0,067483333
1283;0,074433333
1284;0,081383333
1285;0,088333333
1286;0,122
1287;0,155666667
1288;0,189333333
1289;0,223
1290;0,225841667
1291;0,228683333
1292;0,231525
1293;0,234366667
1294;0,237233333
1295;0,2401
1296;0,242966667
1297;0,245833333
1298;0,227825
1299;0,209816667
1300;0,191808333
1301;0,1738
1302;0,144083333
1303;0,114366667
1304;0,08465
1305;0,054933333
1306;0,041866667
1307;0,0288
1308;0,015733333
1309;0,002666667
1310;0,002
1311;0,001333333
1312;0,000666667
1313;0
1314;0
1315;0
1316;0
1317;0
1318;0
1319;0
1320;0
1321;0
1322;0
1323;0
1324;0
1325;0
1326;0
1327;0
1328;0
1329;0
1330;0
1331;0
1332;0
1333;0
1334;0
1335;0
1336;0
1337;0
1338;0
1339;0
1340;0
1341;0
1342;0
1343;0
1344;0
1345;0
1346;0
1347;0
1348;0
1349;0
1350;0
1351;0
1352;0
1353;0
1354;0
1355;0
1356;0
1357;0
1358;0
1359;0
1360;0
1361;0
1362;0
1363;0
1364;0
1365;0
1366;0
1367;0
1368;0
1369;0
1370;0,0013
1371;0,0026
1372;0,0039
1373;0,0052
1374;0,011983333
1375;0,018766667
1376;0,02555
1377;0,032333333
1378;0,104325
1379;0,176316667
1380;0,248308333
1381;0,3203
1382;0,383633333
1383;0,446966667
1384;0,5103
1385;0,573633333
1386;0,596125
1387;0,618616667
1388;0,641108333
1389;0,6636
1390;0,664041667
1391;0,664483333
1392;0,664925
1393;0,665366667
1394;0,652658333
1395;0,63995
1396;0,627241667
1397;0,614533333
1398;0,521075
1399;0,427616667
1400;0,334158333
1401;0,2407
1402;0,20185
1403;0,163
1404;0,12415
1405;0,0853
1406;0,065708333
1407;0,046116667
1408;0,026525
1409;0,006933333
1410;0,0052
1411;0,003466667
1412;0,001733333
1413;0
1414;0
1415;0
1416;0
1417;0
1418;0
1419;0
1420;0
1421;0
1422;0
1423;0
1424;0
1425;0
1426;0
1427;0
1428;0
1429;0
1430;0
1431;0
1432;0
1433;0
1434;0
1435;0
1436;0
1437;0
1438;0
1439;0
1440;0
1441;0
1442;0
1443;0
1444;0
1445;0
1446;0
1447;0
1448;0
1449;0
1450;0
1451;0
1452;0
1453;0
1454;0
1455;0
1456;0
1457;0
1458;0
1459;0
1460;0
1461;0
1462;0
1463;0
1464;0
1465;0
1466;0,001075
1467;0,00215
1468;0,003225
1469;0,0043
1470;0,010666667
1471;0,017033333
1472;0,0234
1473;0,029766667
1474;0,100216667
1475;0,170666667
1476;0,241116667
1477;0,311566667
1478;0,379883333
1479;0,4482
1480;0,516516667
1481;0,584833333
1482;0,567633333
1483;0,550433333
1484;0,533233333
1485;0,516033333
1486;0,558458333
1487;0,600883333
1488;0,643308333
1489;0,685733333
1490;0,671275
1491;0,656816667
1492;0,642358333
1493;0,6279
1494;0,569841667
1495;0,511783333
1496;0,453725
1497;0,395666667
1498;0,318475
1499;0,241283333
1500;0,164091667
1501;0,0869
1502;0,06815
1503;0,0494
1504;0,03065
1505;0,0119
1506;0,008925
1507;0,00595
1508;0,002975
1509;0
1510;0
1511;0
1512;0
1513;0
1514;0
1515;0
1516;0
1517;0
1518;0
1519;0
1520;0
1521;0
1522;0
1523;0
1524;0
1525;0
1526;0
1527;0
1528;0
1529;0
1530;0
1531;0
1532;0
1533;0
1534;0
1535;0
1536;0
1537;0
1538;0
1539;0
1540;0
1541;0
1542;0
1543;0
1544;0
1545;0
1546;0
1547;0
1548;0
1549;0
1550;0
1551;0
1552;0
1553;0
1554;0
1555;0
1556;0
1557;0
1558;0
1559;0
1560;0
1561;0
1562;0
1563;0
1564;0
1565;0
1566;0,002725
1567;0,00545
1568;0,008175
1569;0,0109
1570;0,020466667
1571;0,030033333
1572;0,0396
1573;0,049166667
1574;0,05355
1575;0,057933333
1576;0,062316667
1577;0,0667
1578;0,071166667
1579;0,075633333
1580;0,0801
1581;0,084566667
1582;0,086458333
1583;0,08835
1584;0,090241667
1585;0,092133333
1586;0,105133333
1587;0,118133333
1588;0,131133333
1589;0,144133333
1590;0,125266667
1591;0,1064
1592;0,087533333
1593;0,068666667
1594;0,056891667
1595;0,045116667
1596;0,033341667
1597;0,021566667
1598;0,016766667
1599;0,011966667
1600;0,007166667
1601;0,002366667
1602;0,001775
1603;0,001183333
1604;0,000591667
1605;0
1606;0
1607;0
1608;0
1609;0
1610;0
1611;0
1612;0
1613;0
1614;0
1615;0
1616;0
1617;0
1618;0
1619;0
1620;0
1621;0
1622;0
1623;0
1624;0
1625;0
1626;0
1627;0
1628;0
1629;0
1630;0
1631;0
1632;0
1633;0
1634;0
1635;0
1636;0
1637;0
1638;0
1639;0
1640;0
1641;0
1642;0
1643;0
1644;0
1645;0
1646;0
1647;0
1648;0
1649;0
1650;0
1651;0
1652;0
1653;0
1654;0
1655;0
1656;0
1657;0
1658;0,001408333
1659;0,002816667
1660;0,004225
1661;0,005633333
1662;0,012575
1663;0,019516667
1664;0,026458333
1665;0,0334
1666;0,115033333
1667;0,196666667
1668;0,2783
1669;0,359933333
1670;0,418608333
1671;0,477283333
1672;0,535958333
1673;0,594633333
1674;0,6111
1675;0,627566667
1676;0,644033333
1677;0,6605
1678;0,664708333
1679;0,668916667
1680;0,673125
1681;0,677333333
1682;0,647808333
1683;0,618283333
1684;0,588758333
1685;0,559233333
1686;0,4673
1687;0,375366667
1688;0,283433333
1689;0,1915
1690;0,170683333
1691;0,149866667
1692;0,12905
1693;0,108233333
1694;0,087375
1695;0,066516667
1696;0,045658333
1697;0,0248
1698;0,0186
1699;0,0124
1700;0,0062
1701;0
1702;0
1703;0
1704;0
1705;0
1706;0
1707;0
1708;0
1709;0
1710;0
1711;0
1712;0
1713;0
1714;0
1715;0
1716;0
1717;0
1718;0
1719;0
1720;0
1721;0
1722;0
1723;0
1724;0
1725;0
1726;0
1727;0
1728;0
1729;0
1730;0
1731;0
1732;0
1733;0
1734;0
1735;0
1736;0
1737;0
1738;0
1739;0
1740;0
1741;0
1742;0
1743;0
1744;0
1745;0
1746;0
1747;0
1748;0
1749;0
1750;0
1751;0
1752;0
1753;0
1754;0,001758333
1755;0,003516667
1756;0,005275
1757;0,007033333
1758;0,019183333
1759;0,031333333
1760;0,043483333
1761;0,055633333
1762;0,09365
1763;0,131666667
1764;0,169683333
1765;0,2077
1766;0,218875
1767;0,23005
1768;0,241225
1769;0,2524
1770;0,285516667
1771;0,318633333
1772;0,35175
1773;0,384866667
1774;0,3468
1775;0,308733333
1776;0,270666667
1777;0,2326
1778;0,282533333
1779;0,332466667
1780;0,3824
1781;0,432333333
1782;0,38635
1783;0,340366667
1784;0,294383333
1785;0,2484
1786;0,211733333
1787;0,175066667
1788;0,1384
1789;0,101733333
1790;0,080908333
1791;0,060083333
1792;0,039258333
1793;0,018433333
1794;0,013825
1795;0,009216667
1796;0,004608333
1797;0
1798;0
1799;0
1800;0
1801;0
1802;0
1803;0
1804;0
1805;0
1806;0
1807;0
1808;0
1809;0
1810;0
1811;0
1812;0
1813;0
1814;0
1815;0
1816;0
1817;0
1818;0
1819;0
1820;0
1821;0
1822;0
1823;0
1824;0
1825;0
1826;0
1827;0
1828;0
1829;0
1830;0
1831;0
1832;0
1833;0
1834;0
1835;0
1836;0
1837;0
1838;0
1839;0
1840;0
1841;0
1842;0
1843;0
1844;0
1845;0
1846;0
1847;0
1848;0
1849;0
1850;0
1851;0
1852;0
1853;0
1854;0,001608333
1855;0,003216667
1856;0,004825
1857;0,006433333
1858;0,016958333
1859;0,027483333
1860;0,038008333
1861;0,048533333
1862;0,057083333
1863;0,065633333
1864;0,074183333
1865;0,082733333
1866;0,094875
1867;0,107016667
1868;0,119158333
1869;0,1313
1870;0,132675
1871;0,13405
1872;0,135425
1873;0,1368
1874;0,141966667
1875;0,147133333
1876;0,1523
1877;0,157466667
1878;0,155158333
1879;0,15285
1880;0,150541667
1881;0,148233333
1882;0,134008333
1883;0,119783333
1884;0,105558333
1885;0,091333333
1886;0,0716
1887;0,051866667
1888;0,032133333
1889;0,0124
1890;0,0093
1891;0,0062
1892;0,0031
1893;0
1894;0
1895;0
1896;0
1897;0
1898;0
1899;0
1900;0
1901;0
1902;0
1903;0
1904;0
1905;0
1906;0
1907;0
1908;0
1909;0
1910;0
1911;0
1912;0
1913;0
1914;0
1915;0
1916;0
1917;0
1918;0
1919;0
1920;0
1921;0
1922;0
1923;0
1924;0
1925;0
1926;0
1927;0
1928;0
1929;0
1930;0
1931;0
1932;0
1933;0
1934;0
1935;0
1936;0
1937;0
1938;0
1939;0
1940;0
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0,001466667
1947;0,002933333
1948;0,0044
1949;0,005866667
1950;0,008875
1951;0,011883333
1952;0,014891667
1953;0,0179
1954;0,024291667
1955;0,030683333
1956;0,037075
1957;0,043466667
1958;0,108333333
1959;0,1732
1960;0,238066667
1961;0,302933333
1962;0,28845
1963;0,273966667
1964;0,259483333
1965;0,245
1966;0,213491667
1967;0,181983333
1968;0,150475
1969;0,118966667
1970;0,110583333
1971;0,1022
1972;0,093816667
1973;0,085433333
1974;0,089733333
1975;0,094033333
1976;0,098333333
1977;0,102633333
1978;0,088475
1979;0,074316667
1980;0,060158333
1981;0,046
1982;0,036058333
1983;0,026116667
1984;0,016175
1985;0,006233333
1986;0,004675
1987;0,003116667
1988;0,001558333
1989;0
1990;0
1991;0
1992;0
1993;0
1994;0
1995;0
1996;0
1997;0
1998;0
1999;0
2000;0
2001;0
2002;0
2003;0
2004;0
2005;0
2006;0
2007;0
2008;0
2009;0
2010;0
2011;0
2012;0
2013;0
2014;0
2015;0
2016;0
2017;0
2018;0
2019;0
2020;0
2021;0
2022;0
2023;0
2024;0
2025;0
2026;0
2027;0
2028;0
2029;0
2030;0
2031;0
2032;0
2033;0
2034;0
2035;0
2036;0
2037;0
2038;0
2039;0
2040;0
2041;0
2042;0,000025
2043;0,00005
2044;0,000075
2045;0,0001
2046;0,002625
2047;0,00515
2048;0,007675
2049;0,0102
2050;0,013825
2051;0,01745
2052;0,021075
2053;0,0247
2054;0,029733333
2055;0,034766667
2056;0,0398
2057;0,044833333
2058;0,051591667
2059;0,05835
2060;0,065108333
2061;0,071866667
2062;0,069
2063;0,066133333
2064;0,063266667
2065;0,0604
2066;0,056825
2067;0,05325
2068;0,049675
2069;0,0461
2070;0,039166667
2071;0,032233333
2072;0,0253
2073;0,018366667
2074;0,017766667
2075;0,017166667
2076;0,016566667
2077;0,015966667
2078;0,012516667
2079;0,009066667
2080;0,005616667
2081;0,002166667
2082;0,001625
2083;0,001083333
2084;0,000541667
2085;0
2086;0
2087;0
2088;0
2089;0
2090;0
2091;0
2092;0
2093;0
2094;0
2095;0
2096;0
2097;0
2098;0
2099;0
2100;0
2101;0
2102;0
2103;0
2104;0
2105;0
2106;0
2107;0
2108;0
2109;0
2110;0
2111;0
2112;0
2113;0
2114;0
2115;0
2116;0
2117;0
2118;0
2119;0
2120;0
2121;0
2122;0
2123;0
2124;0
2125;0
2126;0
2127;0
2128;0
2129;0
2130;0
2131;0
2132;0
2133;0
2134;0
2135;0
2136;0
2137;0
2138;0
2139;0
2140;0
2141;0
2142;0,003358333
2143;0,006716667
2144;0,010075
2145;0,013433333
2146;0,018666667
2147;0,0239
2148;0,029133333
2149;0,034366667
2150;0,041325
2151;0,048283333
2152;0,055241667
2153;0,0622
2154;0,066933333
2155;0,071666667
2156;0,0764
2157;0,081133333
2158;0,147375
2159;0,213616667
2160;0,279858333
2161;0,3461
2162;0,299008333
2163;0,251916667
2164;0,204825
2165;0,157733333
2166;0,15555
2167;0,153366667
2168;0,151183333
2169;0,149
2170;0,139908333
2171;0,130816667
2172;0,121725
2173;0,112633333
2174;0,098808333
2175;0,084983333
2176;0,071158333
2177;0,057333333
2178;0,043
2179;0,028666667
2180;0,014333333
2181;0
2182;0
2183;0
2184;0
2185;0
2186;0
2187;0
2188;0
2189;0
2190;0
2191;0
2192;0
2193;0
2194;0
2195;0
2196;0
2197;0
2198;0
2199;0
2200;0
2201;0
2202;0
2203;0
2204;0
2205;0
2206;0
2207;0
2208;0
2209;0
2210;0
2211;0
2212;0
2213;0
2214;0
2215;0
2216;0
2217;0
2218;0
2219;0
2220;0
2221;0
2222;0
2223;0
2224;0
2225;0
2226;0
2227;0
2228;0
2229;0
2230;0
2231;0
2232;0
2233;0
2234;0,000641667
2235;0,001283333
2236;0,001925
2237;0,002566667
2238;0,0056
2239;0,008633333
2240;0,011666667
2241;0,0147
2242;0,029916667
2243;0,045133333
2244;0,06035
2245;0,075566667
2246;0,074716667
2247;0,073866667
2248;0,073016667
2249;0,072166667
2250;0,060783333
2251;0,0494
2252;0,038016667
2253;0,026633333
2254;0,034508333
2255;0,042383333
2256;0,050258333
2257;0,058133333
2258;0,051591667
2259;0,04505
2260;0,038508333
2261;0,031966667
2262;0,026108333
2263;0,02025
2264;0,014391667
2265;0,008533333
2266;0,0071
2267;0,005666667
2268;0,004233333
2269;0,0028
2270;0,0021
2271;0,0014
2272;0,0007
2273;0
2274;0
2275;0
